product_sale_id,sale_id,sale_date,dealership_id,finance_manager_id,finance_product_id,lender_id,finance_structure,product_category,eligibility_rule_id,line_ordinal,product_sale_count,product_retail_price,product_dealer_cost,original_product_gross,contract_term_months,source_system
FPS-00000001,SLE-00000001,2025-07-01,GSA-002,EMP-00017,FP-005,LND-002,Retail Finance,GAP,ELIG-GAP,1,1,1067.25,338.53,728.72,60,arpi_synthetic_generator
FPS-00000002,SLE-00000001,2025-07-01,GSA-002,EMP-00017,FP-012,LND-002,Retail Finance,Key Replacement,ELIG-OTH,2,1,673.74,254.72,419.02,48,arpi_synthetic_generator
FPS-00000003,SLE-00000002,2025-07-01,GSA-001,EMP-00005,FP-002,LND-009,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1955.13,995.55,959.58,72,arpi_synthetic_generator
FPS-00000004,SLE-00000002,2025-07-01,GSA-001,EMP-00005,FP-004,LND-009,Retail Finance,GAP,ELIG-GAP,2,1,509.49,147.68,361.81,72,arpi_synthetic_generator
FPS-00000005,SLE-00000003,2025-07-02,GSA-003,EMP-00028,FP-004,LND-010,Retail Finance,GAP,ELIG-GAP,1,1,439.59,120.97,318.62,72,arpi_synthetic_generator
FPS-00000006,SLE-00000003,2025-07-02,GSA-003,EMP-00028,FP-006,LND-010,Retail Finance,Tire & Wheel,ELIG-TW,2,1,679.34,319.16,360.18,24,arpi_synthetic_generator
FPS-00000007,SLE-00000004,2025-07-02,GSA-001,EMP-00005,FP-003,LND-006,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1590.78,862.03,728.75,84,arpi_synthetic_generator
FPS-00000008,SLE-00000004,2025-07-02,GSA-001,EMP-00005,FP-004,LND-006,Retail Finance,GAP,ELIG-GAP,2,1,347.41,99.10,248.31,60,arpi_synthetic_generator
FPS-00000009,SLE-00000004,2025-07-02,GSA-001,EMP-00005,FP-011,LND-006,Retail Finance,Appearance Protection,ELIG-OTH,3,1,422.40,157.89,264.51,48,arpi_synthetic_generator
FPS-00000010,SLE-00000005,2025-07-02,GSA-002,EMP-00017,FP-002,LND-003,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1702.59,830.42,872.17,72,arpi_synthetic_generator
FPS-00000011,SLE-00000005,2025-07-02,GSA-002,EMP-00017,FP-012,LND-003,Retail Finance,Key Replacement,ELIG-OTH,2,1,263.33,98.91,164.42,48,arpi_synthetic_generator
FPS-00000012,SLE-00000006,2025-07-02,GSA-001,EMP-00005,FP-007,,Cash,Tire & Wheel,ELIG-TW,1,1,1633.05,701.87,931.18,48,arpi_synthetic_generator
FPS-00000013,SLE-00000006,2025-07-02,GSA-001,EMP-00005,FP-011,,Cash,Appearance Protection,ELIG-OTH,2,1,1129.89,381.90,747.99,36,arpi_synthetic_generator
FPS-00000014,SLE-00000007,2025-07-02,GSA-001,EMP-00005,FP-002,LND-001,Lease,Vehicle Service Contract,ELIG-VSC,1,1,2213.85,1158.17,1055.68,72,arpi_synthetic_generator
FPS-00000015,SLE-00000008,2025-07-03,GSA-001,EMP-00005,FP-006,,Cash,Tire & Wheel,ELIG-TW,1,1,1001.35,443.34,558.01,36,arpi_synthetic_generator
FPS-00000016,SLE-00000008,2025-07-03,GSA-001,EMP-00005,FP-011,,Cash,Appearance Protection,ELIG-OTH,2,1,840.54,314.73,525.81,48,arpi_synthetic_generator
FPS-00000017,SLE-00000009,2025-07-03,GSA-001,EMP-00005,FP-001,LND-001,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,880.17,481.76,398.41,60,arpi_synthetic_generator
FPS-00000018,SLE-00000011,2025-07-03,GSA-002,EMP-00017,FP-006,LND-002,Retail Finance,Tire & Wheel,ELIG-TW,1,1,670.95,311.78,359.17,36,arpi_synthetic_generator
FPS-00000019,SLE-00000011,2025-07-03,GSA-002,EMP-00017,FP-013,LND-002,Retail Finance,Theft or Security Product,ELIG-OTH,2,1,322.32,108.20,214.12,60,arpi_synthetic_generator
FPS-00000020,SLE-00000011,2025-07-03,GSA-002,EMP-00017,FP-015,LND-002,Retail Finance,Paintless Dent Protection,ELIG-OTH,3,1,338.59,131.37,207.22,36,arpi_synthetic_generator
FPS-00000021,SLE-00000012,2025-07-03,GSA-001,EMP-00005,FP-002,LND-009,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,833.27,420.02,413.25,72,arpi_synthetic_generator
FPS-00000022,SLE-00000012,2025-07-03,GSA-001,EMP-00005,FP-006,LND-009,Retail Finance,Tire & Wheel,ELIG-TW,2,1,330.24,154.10,176.14,24,arpi_synthetic_generator
FPS-00000023,SLE-00000012,2025-07-03,GSA-001,EMP-00005,FP-019,LND-009,Retail Finance,Other Aftermarket Product,ELIG-OTH,3,1,109.41,38.28,71.13,60,arpi_synthetic_generator
FPS-00000024,SLE-00000014,2025-07-05,GSA-003,EMP-00028,FP-006,LND-006,Retail Finance,Tire & Wheel,ELIG-TW,1,1,1035.28,451.99,583.29,24,arpi_synthetic_generator
FPS-00000025,SLE-00000015,2025-07-05,GSA-001,EMP-00005,FP-001,LND-004,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,701.95,350.18,351.77,60,arpi_synthetic_generator
FPS-00000026,SLE-00000015,2025-07-05,GSA-001,EMP-00005,FP-004,LND-004,Retail Finance,GAP,ELIG-GAP,2,1,223.17,61.36,161.81,60,arpi_synthetic_generator
