vehicle_key,vehicle_id,synthetic_vin,vehicle_model_key,vehicle_model_id,condition_type,exterior_color,interior_color,odometer_reading,odometer_band,acquisition_source,source_system
1,VEH-0000001,ARPIR691A7YMM0FZF,47,VMD-00047,Certified,Sunlit Yellow,Medium Ash Gray,51548,30k-60k,Auction,arpi_synthetic_generator
2,VEH-0000002,ARPIXG4LN2GAFXUAS,54,VMD-00054,Used,Mosaic Black,Jet Black,39834,30k-60k,Customer Trade,arpi_synthetic_generator
3,VEH-0000003,ARPI6W4GY22XBCTG9,50,VMD-00050,Used,Cherry Red,Saddle Tan,74137,60k-100k,Off-street Purchase,arpi_synthetic_generator
4,VEH-0000004,ARPI78L2A01WE36VR,3,VMD-00003,Used,Silver Ice,Warm Ivory,145619,Over 100k,Lease Return,arpi_synthetic_generator
5,VEH-0000005,ARPIYET4Y1N1WXJP2,104,VMD-00104,New,Northsky Blue,Saddle Tan,5,New,Manufacturer Allocation,arpi_synthetic_generator
6,VEH-0000006,ARPIAVPGMFDAJAXX4,47,VMD-00047,Used,Magnetite Gray,Jet Black,54697,30k-60k,Auction,arpi_synthetic_generator
7,VEH-0000007,ARPI0FFD4XGAPJ5AH,104,VMD-00104,New,Mosaic Black,Jet Black,28,New,Manufacturer Allocation,arpi_synthetic_generator
8,VEH-0000008,ARPI9J3NX7HNN5C9S,19,VMD-00019,Used,Cayenne Orange,Slate Gray,63096,60k-100k,Auction,arpi_synthetic_generator
9,VEH-0000009,ARPI70XNYAWH2Z6LV,3,VMD-00003,Used,Silver Ice,Jet Black,141132,Over 100k,Auction,arpi_synthetic_generator
10,VEH-0000010,ARPIZCB98XJBKDZX6,106,VMD-00106,New,Summit White,Jet Black,10,New,Manufacturer Allocation,arpi_synthetic_generator
11,VEH-0000011,ARPIYDP2AHL5D37J4,111,VMD-00111,Used,Summit White,Titanium,3279,Under 10k,Off-street Purchase,arpi_synthetic_generator
12,VEH-0000012,ARPIZCFC5RY86X5F6,110,VMD-00110,Certified,Crystal Black Silica,Medium Ash Gray,8486,Under 10k,Lease Return,arpi_synthetic_generator
13,VEH-0000013,ARPIPE6TJEZB8PAUU,50,VMD-00050,Used,Magnetite Gray,Warm Ivory,91415,60k-100k,Off-street Purchase,arpi_synthetic_generator
14,VEH-0000014,ARPIYD9XY5UM9RK97,103,VMD-00103,New,Mosaic Black,Jet Black,12,New,Manufacturer Allocation,arpi_synthetic_generator
15,VEH-0000015,ARPIL9Z9VW84GFWH9,7,VMD-00007,Used,Northsky Blue,Jet Black,109207,Over 100k,Auction,arpi_synthetic_generator
16,VEH-0000016,ARPIGD16DGXA0XRNT,103,VMD-00103,New,Summit White,Jet Black,3,New,Manufacturer Allocation,arpi_synthetic_generator
17,VEH-0000017,ARPI9XB823C1ZZ3CB,92,VMD-00092,Used,Autumn Green,Jet Black,37369,30k-60k,Customer Trade,arpi_synthetic_generator
18,VEH-0000018,ARPI5B33HWMF930W8,119,VMD-00119,Used,Summit White,Warm Ivory,1743,Under 10k,Off-street Purchase,arpi_synthetic_generator
19,VEH-0000019,ARPIJJ4G89V51JL96,29,VMD-00029,Used,Sandstone Beige,Warm Ivory,86895,60k-100k,Auction,arpi_synthetic_generator
20,VEH-0000020,ARPITE13P509BRKAP,41,VMD-00041,Used,Summit White,Warm Ivory,92315,60k-100k,Customer Trade,arpi_synthetic_generator
21,VEH-0000021,ARPIACD7YM72JLB38,89,VMD-00089,Used,Crystal Black Silica,Jet Black,28357,10k-30k,Auction,arpi_synthetic_generator
22,VEH-0000022,ARPIH8WGEB8LEX4BY,5,VMD-00005,Used,Cherry Red,Jet Black,84960,60k-100k,Customer Trade,arpi_synthetic_generator
23,VEH-0000023,ARPI5YTAVM8XUYW2Y,79,VMD-00079,Used,Ice Silver,Jet Black,41696,30k-60k,Customer Trade,arpi_synthetic_generator
24,VEH-0000024,ARPI7PMAL9TH7T6NS,3,VMD-00003,Used,Summit White,Slate Gray,77593,60k-100k,Auction,arpi_synthetic_generator
25,VEH-0000025,ARPIXXX487LNCAN4P,120,VMD-00120,Used,Summit White,Jet Black,13993,10k-30k,Auction,arpi_synthetic_generator
26,VEH-0000026,ARPIN41GKDGUF9GWF,41,VMD-00041,Used,Sunlit Yellow,Medium Ash Gray,80656,60k-100k,Customer Trade,arpi_synthetic_generator
27,VEH-0000027,ARPIA2A4SP3JU32YE,104,VMD-00104,Used,Summit White,Medium Ash Gray,17039,10k-30k,Lease Return,arpi_synthetic_generator
28,VEH-0000028,ARPIG5D31679KJNKF,107,VMD-00107,Used,Summit White,Jet Black,4905,Under 10k,Dealer Trade,arpi_synthetic_generator
29,VEH-0000029,ARPIKNKW0KU8P1YJN,55,VMD-00055,Used,Magnetite Gray,Slate Gray,33858,30k-60k,Off-street Purchase,arpi_synthetic_generator
30,VEH-0000030,ARPIHEKGG66HEJKWG,119,VMD-00119,Used,Sunlit Yellow,Medium Ash Gray,11684,10k-30k,Auction,arpi_synthetic_generator
31,VEH-0000031,ARPICB3FC4U255NHK,119,VMD-00119,Used,Summit White,Titanium,6211,Under 10k,Customer Trade,arpi_synthetic_generator
32,VEH-0000032,ARPIUS21RRFU7LH7C,103,VMD-00103,Used,Silver Ice,Warm Ivory,18122,10k-30k,Customer Trade,arpi_synthetic_generator
33,VEH-0000033,ARPIRAGX4Y2PXV8TB,86,VMD-00086,Used,Silver Ice,Warm Ivory,26440,10k-30k,Customer Trade,arpi_synthetic_generator
34,VEH-0000034,ARPI7KEZF1C9TBXZF,104,VMD-00104,New,Autumn Green,Jet Black,8,New,Manufacturer Allocation,arpi_synthetic_generator
35,VEH-0000035,ARPIE334RUHPRS6PW,89,VMD-00089,New,Mosaic Black,Medium Ash Gray,29,New,Manufacturer Allocation,arpi_synthetic_generator
36,VEH-0000036,ARPIAMY255DPKV5D3,43,VMD-00043,Used,Summit White,Jet Black,95819,60k-100k,Customer Trade,arpi_synthetic_generator
37,VEH-0000037,ARPI0MLU2FWL38Y5G,38,VMD-00038,Used,Summit White,Warm Ivory,47705,30k-60k,Customer Trade,arpi_synthetic_generator
38,VEH-0000038,ARPIAN5DBRSRPD9M3,64,VMD-00064,Used,Mosaic Black,Warm Ivory,65803,60k-100k,Auction,arpi_synthetic_generator
39,VEH-0000039,ARPIRC18E3L1KLZ1C,36,VMD-00036,Certified,Summit White,Medium Ash Gray,74936,60k-100k,Customer Trade,arpi_synthetic_generator
40,VEH-0000040,ARPIL9SR1FUU9CCZP,74,VMD-00074,Used,Summit White,Jet Black,66792,60k-100k,Off-street Purchase,arpi_synthetic_generator
41,VEH-0000041,ARPISN97ZAKRZ0VEM,120,VMD-00120,New,Ice Silver,Jet Black,15,New,Manufacturer Allocation,arpi_synthetic_generator
42,VEH-0000042,ARPI2TPAKNLGFCXUW,109,VMD-00109,New,Magnetite Gray,Warm Ivory,16,New,Manufacturer Allocation,arpi_synthetic_generator
43,VEH-0000043,ARPI4D6ECPH4TNMN9,18,VMD-00018,Used,Summit White,Jet Black,50629,30k-60k,Auction,arpi_synthetic_generator
44,VEH-0000044,ARPI1481B211WEC1C,39,VMD-00039,Used,Sunlit Yellow,Jet Black,90817,60k-100k,Auction,arpi_synthetic_generator
45,VEH-0000045,ARPIHYA3XYWTC69SP,98,VMD-00098,Used,Mosaic Black,Saddle Tan,19300,10k-30k,Customer Trade,arpi_synthetic_generator
46,VEH-0000046,ARPIEFCW64ENGYD0E,33,VMD-00033,Used,Northsky Blue,Saddle Tan,80999,60k-100k,Customer Trade,arpi_synthetic_generator
47,VEH-0000047,ARPI9UR1H8ZP25ZCS,112,VMD-00112,New,Summit White,Saddle Tan,16,New,Manufacturer Allocation,arpi_synthetic_generator
48,VEH-0000048,ARPIB2RXMAAE4BV30,100,VMD-00100,New,Magnetite Gray,Jet Black,10,New,Manufacturer Allocation,arpi_synthetic_generator
49,VEH-0000049,ARPI64J88648BNT8S,109,VMD-00109,New,Northsky Blue,Saddle Tan,31,New,Manufacturer Allocation,arpi_synthetic_generator
