acquisition_id,vehicle_id,dealership_id,acquisition_date,acquisition_source,acquisition_cost,reconditioning_cost,original_asking_price,msrp,initial_inventory_status,source_system
ACQ-00000001,VEH-0000001,GSA-002,2025-11-29,Auction,8266.36,2469.25,14260.92,,In Reconditioning,arpi_synthetic_generator
ACQ-00000002,VEH-0000002,GSA-003,2025-05-23,Customer Trade,14895.50,1376.27,21117.60,,In Reconditioning,arpi_synthetic_generator
ACQ-00000003,VEH-0000003,GSA-003,2025-08-25,Off-street Purchase,10635.07,848.44,14500.25,,In Stock,arpi_synthetic_generator
ACQ-00000004,VEH-0000004,GSA-002,2025-09-30,Lease Return,2124.90,872.47,4249.39,,In Stock,arpi_synthetic_generator
ACQ-00000005,VEH-0000005,GSA-001,2025-12-23,Manufacturer Allocation,35362.50,58.00,39589.36,39424.57,In Transit,arpi_synthetic_generator
ACQ-00000006,VEH-0000006,GSA-002,2025-10-24,Auction,7113.29,2169.46,12231.45,,In Reconditioning,arpi_synthetic_generator
ACQ-00000007,VEH-0000007,GSA-001,2025-03-31,Manufacturer Allocation,37590.80,131.00,40519.27,40600.43,In Transit,arpi_synthetic_generator
ACQ-00000008,VEH-0000008,GSA-003,2025-06-16,Auction,5602.20,1492.70,9103.64,,In Reconditioning,arpi_synthetic_generator
ACQ-00000009,VEH-0000009,GSA-003,2025-10-31,Auction,2054.65,854.21,3998.97,,In Stock,arpi_synthetic_generator
ACQ-00000010,VEH-0000010,GSA-002,2025-08-18,Manufacturer Allocation,35024.91,162.00,38605.11,38470.27,In Transit,arpi_synthetic_generator
ACQ-00000011,VEH-0000011,GSA-001,2025-09-24,Off-street Purchase,31796.46,1208.76,44951.72,,In Reconditioning,arpi_synthetic_generator
ACQ-00000012,VEH-0000012,GSA-002,2025-06-03,Lease Return,19243.64,2564.69,29719.67,,In Reconditioning,arpi_synthetic_generator
ACQ-00000013,VEH-0000013,GSA-001,2025-08-19,Off-street Purchase,8875.31,2336.38,15110.95,,In Reconditioning,arpi_synthetic_generator
ACQ-00000014,VEH-0000014,GSA-001,2025-08-22,Manufacturer Allocation,35098.70,52.00,39154.93,38281.42,In Transit,arpi_synthetic_generator
ACQ-00000015,VEH-0000015,GSA-001,2025-09-13,Auction,1738.38,771.98,3105.18,,In Stock,arpi_synthetic_generator
ACQ-00000016,VEH-0000016,GSA-001,2025-03-15,Manufacturer Allocation,37501.22,143.00,40169.75,40267.60,In Transit,arpi_synthetic_generator
ACQ-00000017,VEH-0000017,GSA-003,2025-09-17,Customer Trade,27198.05,881.41,35190.58,,In Stock,arpi_synthetic_generator
ACQ-00000018,VEH-0000018,GSA-002,2025-12-31,Off-street Purchase,31518.06,1541.17,44051.72,,In Reconditioning,arpi_synthetic_generator
ACQ-00000019,VEH-0000019,GSA-001,2025-06-26,Auction,5329.28,1705.61,8814.97,,In Reconditioning,arpi_synthetic_generator
ACQ-00000020,VEH-0000020,GSA-003,2025-09-12,Customer Trade,8042.90,2411.15,13756.46,,In Reconditioning,arpi_synthetic_generator
ACQ-00000021,VEH-0000021,GSA-003,2025-08-28,Auction,30610.12,2142.09,41940.97,,In Reconditioning,arpi_synthetic_generator
ACQ-00000022,VEH-0000022,GSA-003,2025-09-03,Customer Trade,2192.97,890.17,4162.57,,In Stock,arpi_synthetic_generator
ACQ-00000023,VEH-0000023,GSA-001,2025-10-09,Customer Trade,17591.83,2617.83,24246.18,,In Reconditioning,arpi_synthetic_generator
ACQ-00000024,VEH-0000024,GSA-002,2025-12-04,Auction,2290.25,915.47,4163.08,,In Stock,arpi_synthetic_generator
ACQ-00000025,VEH-0000025,GSA-002,2025-06-19,Auction,23583.45,476.90,33299.02,,In Stock,arpi_synthetic_generator
ACQ-00000026,VEH-0000026,GSA-002,2025-09-30,Customer Trade,9463.31,2780.46,16143.19,,In Reconditioning,arpi_synthetic_generator
