finance_product_key,finance_product_id,product_name,product_category,provider_name,eligibility_rule_id,eligible_finance_structures,eligible_vehicle_conditions,default_contract_term_months,cancellation_sensitive,chargeback_sensitive,active_start_date,active_end_date,is_active,source_system
1,FP-001,Granite Shield Powertrain Plus,Vehicle Service Contract,Granite Shield Administrators,ELIG-VSC,Cash | Lease | Retail Finance,Certified | New | Used,60,true,true,2015-01-01,9999-12-31,true,arpi_synthetic_generator
2,FP-002,Northbridge Comprehensive Coverage,Vehicle Service Contract,Northbridge Protection Services,ELIG-VSC,Cash | Lease | Retail Finance,Certified | New | Used,72,true,true,2015-01-01,9999-12-31,true,arpi_synthetic_generator
3,FP-003,Summit Certified Extended Coverage,Vehicle Service Contract,Summit Assurance Group,ELIG-VSC,Cash | Lease | Retail Finance,Certified | New | Used,84,true,true,2015-01-01,9999-12-31,true,arpi_synthetic_generator
4,FP-004,Keystone GAP Advantage,GAP,Keystone Vehicle Programs,ELIG-GAP,Retail Finance,Certified | New | Used,72,true,true,2015-01-01,9999-12-31,true,arpi_synthetic_generator
5,FP-005,Northbridge Deficiency Waiver,GAP,Northbridge Protection Services,ELIG-GAP,Retail Finance,Certified | New | Used,60,true,true,2015-01-01,9999-12-31,true,arpi_synthetic_generator
6,FP-006,Granite Shield Road Hazard Tire and Wheel,Tire & Wheel,Granite Shield Administrators,ELIG-TW,Cash | Lease | Retail Finance,Certified | New | Used,36,true,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
7,FP-007,Summit Wheel and Tire Care,Tire & Wheel,Summit Assurance Group,ELIG-TW,Cash | Lease | Retail Finance,Certified | New | Used,48,true,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
8,FP-008,Keystone Scheduled Maintenance Plan,Prepaid Maintenance,Keystone Vehicle Programs,ELIG-PPM,Cash | Lease | Retail Finance,Certified | New,36,true,true,2015-01-01,9999-12-31,true,arpi_synthetic_generator
9,FP-009,Granite Shield Maintenance Essentials,Prepaid Maintenance,Granite Shield Administrators,ELIG-PPM,Cash | Lease | Retail Finance,Certified | New,24,true,true,2015-01-01,9999-12-31,true,arpi_synthetic_generator
10,FP-010,Northbridge Interior and Exterior Shield,Appearance Protection,Northbridge Protection Services,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,60,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
11,FP-011,Summit Surface Guard,Appearance Protection,Summit Assurance Group,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,48,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
12,FP-012,Keystone Key Replacement Plan,Key Replacement,Keystone Vehicle Programs,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,48,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
13,FP-013,Granite Shield Theft Deterrent Registration,Theft or Security Product,Granite Shield Administrators,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,60,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
14,FP-014,Northbridge Dent Care,Paintless Dent Protection,Northbridge Protection Services,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,60,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
15,FP-015,Summit Dent and Ding Plan,Paintless Dent Protection,Summit Assurance Group,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,36,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
16,FP-016,Keystone Lease Wear and Tear Waiver,Lease Wear Protection,Keystone Vehicle Programs,ELIG-LWP,Lease,Certified | New | Used,36,true,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
17,FP-017,Northbridge Lease End Protection,Lease Wear Protection,Northbridge Protection Services,ELIG-LWP,Lease,Certified | New | Used,39,true,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
18,FP-018,Summit Windshield Protection Plan,Other Aftermarket Product,Summit Assurance Group,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,36,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
19,FP-019,Granite Shield Roadside Assistance Plus,Other Aftermarket Product,Granite Shield Administrators,ELIG-OTH,Cash | Lease | Retail Finance,Certified | New | Used,60,false,false,2015-01-01,9999-12-31,true,arpi_synthetic_generator
