adjustment_id,product_sale_id,sale_id,adjustment_date,dealership_id,finance_manager_id,finance_product_id,product_category,adjustment_type,adjustment_amount,adjustment_reason_category,sequence_ordinal,source_system
FPA-00000001,FPS-00000006,SLE-00000003,2025-08-03,GSA-003,EMP-00028,FP-006,Tire & Wheel,Cancellation,244.35,Early Payoff,1,arpi_synthetic_generator
FPA-00000002,FPS-00000007,SLE-00000004,2025-10-03,GSA-001,EMP-00005,FP-003,Vehicle Service Contract,Chargeback,470.38,Contract Cancelled,1,arpi_synthetic_generator
FPA-00000003,FPS-00000033,SLE-00000020,2025-09-25,GSA-002,EMP-00017,FP-005,GAP,Cancellation,704.89,Customer Request,1,arpi_synthetic_generator
FPA-00000004,FPS-00000038,SLE-00000022,2025-08-20,GSA-003,EMP-00028,FP-002,Vehicle Service Contract,Cancellation,1203.38,Total Loss,1,arpi_synthetic_generator
FPA-00000005,FPS-00000048,SLE-00000027,2025-11-22,GSA-002,EMP-00017,FP-002,Vehicle Service Contract,Cancellation,707.86,Vehicle Sold or Traded,1,arpi_synthetic_generator
FPA-00000006,FPS-00000075,SLE-00000042,2025-11-09,GSA-002,EMP-00017,FP-004,GAP,Chargeback,146.30,Early Payoff,1,arpi_synthetic_generator
FPA-00000007,FPS-00000085,SLE-00000046,2025-10-24,GSA-003,EMP-00028,FP-005,GAP,Chargeback,244.32,Early Payoff,1,arpi_synthetic_generator
FPA-00000008,FPS-00000094,SLE-00000051,2025-08-25,GSA-002,EMP-00017,FP-002,Vehicle Service Contract,Chargeback,976.32,Early Payoff,1,arpi_synthetic_generator
FPA-00000009,FPS-00000106,SLE-00000062,2025-11-09,GSA-002,EMP-00017,FP-003,Vehicle Service Contract,Chargeback,494.41,Contract Cancelled,1,arpi_synthetic_generator
FPA-00000010,FPS-00000143,SLE-00000083,2025-11-05,GSA-002,EMP-00017,FP-005,GAP,Chargeback,59.38,Contract Cancelled,1,arpi_synthetic_generator
FPA-00000011,FPS-00000150,SLE-00000088,2025-09-08,GSA-003,,FP-005,GAP,Cancellation,193.49,Early Payoff,1,arpi_synthetic_generator
FPA-00000012,FPS-00000151,SLE-00000090,2025-11-27,GSA-001,EMP-00005,FP-009,Prepaid Maintenance,Cancellation,73.87,Early Payoff,1,arpi_synthetic_generator
FPA-00000013,FPS-00000172,SLE-00000098,2025-11-10,GSA-002,EMP-00017,FP-004,GAP,Chargeback,281.03,Repossession,1,arpi_synthetic_generator
FPA-00000014,FPS-00000199,SLE-00000115,2025-09-12,GSA-001,,FP-004,GAP,Chargeback,62.00,Contract Cancelled,1,arpi_synthetic_generator
FPA-00000015,FPS-00000218,SLE-00000130,2025-12-02,GSA-003,EMP-00028,FP-001,Vehicle Service Contract,Chargeback,481.19,Repossession,1,arpi_synthetic_generator
FPA-00000016,FPS-00000229,SLE-00000134,2025-10-17,GSA-001,EMP-00005,FP-009,Prepaid Maintenance,Chargeback,104.54,Early Payoff,1,arpi_synthetic_generator
FPA-00000017,FPS-00000233,SLE-00000140,2025-09-03,GSA-001,EMP-00005,FP-001,Vehicle Service Contract,Cancellation,695.33,Vehicle Sold or Traded,1,arpi_synthetic_generator
FPA-00000018,FPS-00000237,SLE-00000141,2025-08-21,GSA-002,,FP-001,Vehicle Service Contract,Cancellation,301.12,Customer Request,1,arpi_synthetic_generator
FPA-00000019,FPS-00000240,SLE-00000142,2025-12-01,GSA-003,EMP-00028,FP-006,Tire & Wheel,Cancellation,174.53,Early Payoff,1,arpi_synthetic_generator
FPA-00000020,FPS-00000242,SLE-00000143,2025-11-19,GSA-001,EMP-00005,FP-003,Vehicle Service Contract,Cancellation,1439.16,Vehicle Sold or Traded,1,arpi_synthetic_generator
FPA-00000021,FPS-00000254,SLE-00000155,2025-10-20,GSA-003,EMP-00028,FP-007,Tire & Wheel,Cancellation,342.39,Customer Request,1,arpi_synthetic_generator
FPA-00000022,FPS-00000257,SLE-00000158,2025-12-12,GSA-003,EMP-00028,FP-001,Vehicle Service Contract,Chargeback,182.08,Early Payoff,1,arpi_synthetic_generator
FPA-00000023,FPS-00000263,SLE-00000161,2025-10-28,GSA-002,,FP-005,GAP,Chargeback,295.00,Early Payoff,1,arpi_synthetic_generator
FPA-00000024,FPS-00000269,SLE-00000165,2025-10-25,GSA-002,EMP-00017,FP-004,GAP,Chargeback,991.61,Contract Cancelled,1,arpi_synthetic_generator
